fecha,partido,apuesta,cuota,p_modelo,edge,importe,gano,banca
2022-12-18,Argentina - France,LOCAL,2.63,0.5566,0.4639,1.86,False,35.26
2026-06-11,South Korea - Czech Republic,LOCAL,2.54,0.4071,0.034,0.19,True,35.56
2026-06-13,Haiti - Scotland,LOCAL,5.41,0.219,0.1849,0.37,False,35.19
2026-06-13,Haiti - Scotland,EMPATE,4.29,0.2709,0.1622,0.43,False,34.75
2026-06-13,Australia - Turkey,VISITANTE,1.68,0.6353,0.0673,0.86,False,33.89
2026-06-13,Qatar - Switzerland,LOCAL,14.57,0.3146,3.5843,1.69,False,32.2
2026-06-13,Qatar - Switzerland,EMPATE,6.88,0.2797,0.9243,1.27,True,39.64
2026-06-14,Ivory Coast - Ecuador,LOCAL,3.22,0.3583,0.1539,0.69,True,41.16
2026-06-14,Sweden - Tunisia,VISITANTE,4.36,0.2722,0.1868,0.57,False,40.59
2026-06-15,Spain - Cape Verde,EMPATE,11.58,0.1807,1.092,1.05,True,51.67
2026-06-15,Spain - Cape Verde,VISITANTE,26.2,0.0903,1.3649,0.7,False,50.97
2026-06-15,Belgium - Egypt,EMPATE,4.14,0.292,0.2087,0.85,True,53.63
2026-06-15,Belgium - Egypt,VISITANTE,6.22,0.233,0.4491,1.15,False,52.48
2026-06-15,Saudi Arabia - Uruguay,LOCAL,7.5,0.2167,0.6249,1.26,False,51.22
2026-06-15,Saudi Arabia - Uruguay,EMPATE,4.11,0.2794,0.1484,0.61,True,53.12
2026-06-15,Iran - New Zealand,LOCAL,1.81,0.664,0.2019,2.66,False,50.46
2026-06-16,France - Senegal,EMPATE,4.41,0.2811,0.2397,0.89,False,49.57
2026-06-16,France - Senegal,VISITANTE,6.42,0.2721,0.747,1.71,False,47.87
2026-06-16,Iraq - Norway,LOCAL,13.1,0.1927,1.5249,1.51,False,46.36
2026-06-16,Iraq - Norway,EMPATE,6.5,0.2529,0.6439,1.36,False,45.0
2026-06-16,Argentina - Algeria,EMPATE,4.06,0.2582,0.0482,0.18,False,44.82
2026-06-16,Argentina - Algeria,VISITANTE,6.48,0.1727,0.1194,0.24,False,44.58
2026-06-16,Austria - Jordan,EMPATE,4.69,0.2388,0.1201,0.36,False,44.22
2026-06-16,Austria - Jordan,VISITANTE,8.33,0.1399,0.1655,0.25,False,43.97
2026-06-17,England - Croatia,EMPATE,3.78,0.2774,0.0486,0.19,False,43.78
2026-06-17,England - Croatia,VISITANTE,5.29,0.2289,0.2109,0.54,False,43.24
2026-06-17,Ghana - Panama,VISITANTE,3.18,0.5235,0.6649,2.16,False,41.08
2026-06-17,Uzbekistan - Colombia,LOCAL,9.97,0.1652,0.6466,0.74,False,40.34
2026-06-17,Uzbekistan - Colombia,EMPATE,5.16,0.2429,0.2532,0.61,False,39.72
2026-06-18,Canada - Qatar,EMPATE,5.84,0.221,0.2908,0.6,False,39.13
2026-06-18,Canada - Qatar,VISITANTE,11.38,0.0987,0.1238,0.12,False,39.01
2026-06-18,Mexico - South Korea,LOCAL,2.02,0.6026,0.2172,1.95,True,41.0
2026-06-19,United States - Australia,EMPATE,4.08,0.2868,0.1702,0.57,False,40.43
2026-06-19,United States - Australia,VISITANTE,5.79,0.215,0.245,0.52,False,39.91
2026-06-19,Turkey - Paraguay,LOCAL,2.02,0.5634,0.1381,1.35,False,38.56
2026-06-19,Brazil - Haiti,EMPATE,10.41,0.1039,0.0819,0.08,False,38.48
2026-06-20,Netherlands - Sweden,EMPATE,3.96,0.2772,0.0978,0.32,False,38.16
2026-06-20,Germany - Ivory Coast,EMPATE,4.65,0.2237,0.04,0.1,False,38.06
2026-06-20,Tunisia - Japan,LOCAL,7.69,0.1602,0.2316,0.33,False,37.73
2026-06-20,Tunisia - Japan,EMPATE,4.3,0.2436,0.0476,0.14,False,37.59
2026-06-21,New Zealand - Egypt,LOCAL,5.64,0.191,0.0774,0.16,False,37.44
2026-06-21,Spain - Saudi Arabia,EMPATE,10.69,0.1546,0.6522,0.63,False,36.81
2026-06-21,Spain - Saudi Arabia,VISITANTE,22.81,0.0668,0.523,0.22,False,36.58
2026-06-21,Belgium - Iran,EMPATE,4.53,0.2429,0.1002,0.26,True,37.5
2026-06-21,Belgium - Iran,VISITANTE,7.87,0.1737,0.3674,0.5,False,37.0
2026-06-21,Uruguay - Cape Verde,EMPATE,4.5,0.2533,0.14,0.37,True,38.3
2026-06-21,Uruguay - Cape Verde,VISITANTE,9.1,0.1746,0.589,0.7,False,37.6
2026-06-22,France - Iraq,EMPATE,12.03,0.177,1.1294,0.96,False,36.64
2026-06-22,France - Iraq,VISITANTE,28.13,0.0901,1.5356,0.52,False,36.12
2026-06-22,Argentina - Austria,EMPATE,4.33,0.2384,0.0323,0.09,False,36.03
2026-06-22,Argentina - Austria,VISITANTE,7.32,0.1457,0.0663,0.09,False,35.94
2026-06-23,England - Ghana,EMPATE,7.29,0.1578,0.1503,0.21,True,37.29
2026-06-23,England - Ghana,VISITANTE,15.28,0.0756,0.1548,0.1,False,37.19
2026-06-23,Panama - Croatia,LOCAL,7.82,0.234,0.8296,1.13,False,36.05
2026-06-23,Panama - Croatia,EMPATE,4.55,0.2834,0.2896,0.74,False,35.32
2026-06-23,Portugal - Uzbekistan,EMPATE,8.48,0.211,0.7889,0.93,False,34.39
2026-06-23,Portugal - Uzbekistan,VISITANTE,19.31,0.1248,1.409,0.66,False,33.73
2026-06-24,Canada - Switzerland,LOCAL,3.11,0.6066,0.8865,1.69,False,32.04
2026-06-24,South Africa - South Korea,LOCAL,5.42,0.2198,0.1915,0.35,True,33.57
